"Step","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score__MIN","Group: MNIST_1_MLP_SentinelGlobal_fully_NoAttack_0_N0-S0_R0_salt_20230710_214301 - Test/F1Score__MAX","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score__MIN","Group: MNIST_1_MLP_Sentinel_fully_NoAttack_0_N0-S0_R0_salt_20230710_213324 - Test/F1Score__MAX","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score__MIN","Group: MNIST_1_MLP_FlTrust_fully_NoAttack_0_N0-S0_R0_salt_20230710_212348 - Test/F1Score__MAX","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score__MIN","Group: MNIST_1_MLP_TrimmedMean_fully_NoAttack_0_N0-S0_R0_salt_20230710_211341 - Test/F1Score__MAX","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score__MIN","Group: MNIST_1_MLP_FedAvg_fully_NoAttack_0_N0-S0_R0_salt_20230710_210406 - Test/F1Score__MAX","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score__MIN","Group: MNIST_1_MLP_Krum_fully_NoAttack_0_N0-S0_R0_salt_20230710_205400 - Test/F1Score__MAX"
"232","","","","","","","","","","0.9484618842601776","0.9047070741653442","0.9853735566139221","0.9502371609210968","0.9086322784423828","0.9897156357765198","0.9249357938766479","0.8760091066360474","0.9765831828117371"
"243","0.9095986962318421","0.8572877049446106","0.9709445238113403","","","","","","","","","","","","","","",""
"253","","","","","","","0.948586767911911","0.9031129479408264","0.9852532148361206","","","","","","","","",""
"265","","","","","","","","","","0.9502340853214264","0.9045559763908386","0.9867279529571533","0.9525408804416656","0.9143505096435547","0.9887120723724365","0.935556423664093","0.8906616568565369","0.9852942228317261"
"295","","","","","","","0.9510841071605682","0.9101447463035583","0.9854286909103394","","","","","","","","",""
"298","","","","","","","","","","0.9516069889068604","0.9129377603530884","0.9868072271347046","0.9534596264362335","0.9157943725585938","0.9895312786102295","0.9329402983188629","0.880771279335022","0.9773396253585815"
"331","","","","","","","","","","0.9515212953090668","0.911981463432312","0.9897156357765198","0.9527326345443725","0.9125649929046631","0.9871119260787964","0.9353533148765564","0.8862149119377136","0.9787185192108154"
"337","","","","0.9322697401046753","0.8871022462844849","0.9817458391189575","0.9515112340450287","0.9096008539199829","0.9854286909103394","","","","","","","","",""
"364","0.932061767578125","0.8855426907539368","0.9792178273200989","","","","","","","","","","","","","","",""
"379","","","","","","","0.9507066190242768","0.9101278185844421","0.9854286909103394","","","","","","","","",""
"421","","","","","","","0.952308714389801","0.9103224277496338","0.9846094250679016","","","","","","","","",""
"449","","","","0.9414731740951539","0.8905148506164551","0.9833112359046936","","","","","","","","","","","",""
"495","0.9412636160850525","0.891772449016571","0.9832309484481812","","","","","","","","","","","","","","",""
"561","","","","0.9451875329017639","0.8982633352279663","0.9854554533958435","","","","","","","","","","","",""
"626","0.9466251075267792","0.8970409035682678","0.9892675876617432","","","","","","","","","","","","","","",""
"673","","","","0.9469610333442688","0.9052199721336365","0.9856833815574646","","","","","","","","","","","",""
"757","0.9485337257385253","0.9058994054794312","0.9883291721343994","","","","","","","","","","","","","","",""
"785","","","","0.9482980072498322","0.9085109829902649","0.9878338575363159","","","","","","","","","","","",""
"888","0.949862277507782","0.9072545170783997","0.9888323545455933","","","","","","","","","","","","","","",""
"897","","","","0.9508229851722717","0.9093917012214661","0.990145742893219","","","","","","","","","","","",""
"1009","","","","0.952182799577713","0.9121717810630798","0.9884997606277466","","","","","","","","","","","",""
"1019","0.9513949990272522","0.9094148874282837","0.9883291721343994","","","","","","","","","","","","","","",""
"1121","","","","0.9513347804546356","0.9079779982566833","0.9903300404548645","","","","","","","","","","","",""
"1150","0.9515066027641297","0.9100371599197388","0.990145742893219","","","","","","","","","","","","","","",""
"1281","0.9536387681961059","0.9116176962852478","0.9892165660858154","","","","","","","","","","","","","","",""
