,192.168.50.3:46571,192.168.50.4:46572,192.168.50.5:46573,192.168.50.6:46574,192.168.50.7:46575,192.168.50.8:46576,192.168.50.9:46577,192.168.50.10:46578,192.168.50.11:46579
0,0,0.0,0.0,0,0.0,0.0,0,0,0
1,0,0.20201673205462053,0.20201673205462053,0,0.20201673205462053,0.19193307178151783,0,0,0
2,0,0.207784315154436,0.1977386223039425,0,0.1892106723393704,0.19748207504781498,0,0,0
3,0,0.21127066932979274,0.19459474626330034,0,0.18467211895829508,0.19819179611881915,0,0,0
4,0,0.2087064604605283,0.19432964577363976,0,0.1882830370948198,0.19997439621048388,0,0,0
5,0,0.20133100621476163,0.19801238236440977,0,0.1919431871643385,0.2038132117054106,0,0,0
6,0,0.19730573435668347,0.19566833531301023,0,0.18722607281431214,0.19738090118807214,0,0,0
7,0,0.18637690529124137,0.1889632868772639,0,0.18611482273410554,0.20681643663638022,0,0,0
8,0,0.18581162484191732,0.18495250113402426,0,0.17909952395723874,0.20558448564172374,0,0,0
9,0,0.19822613309380302,0.17685796445830246,0,0.1694568334188783,0.20905896928850592,0,0,0
