,192.168.50.3:46541,192.168.50.4:46542,192.168.50.5:46543,192.168.50.6:46544,192.168.50.7:46545,192.168.50.8:46546,192.168.50.9:46547,192.168.50.10:46548,192.168.50.11:46549
0,0,0.0,0.0,0,0,0,0.0,0.0,0
1,0,0.2130861223600598,0.16347566161327545,0,0,0,0.2130861223600598,0.19726597130654516,0
2,0,0.21286001155130127,0.18024134533503494,0,0,0,0.21286001155130127,0.18117862001106125,0
3,0,0.19865173497397048,0.18150851471968676,0,0,0,0.2135108032603039,0.19281814378573495,0
4,0,0.19191682713411753,0.17717431174376266,0,0,0,0.22043034638528622,0.1900481683515473,0
5,0,0.19455203599858475,0.18509250520108003,0,0,0,0.19796872345012367,0.1935275237239582,0
6,0,0.1971512218756565,0.18476638954710564,0,0,0,0.19027680856916238,0.19538487289799872,0
7,0,0.17621728724738747,0.18627641552726096,0,0,0,0.20031274765029328,0.20396221846880813,0
8,0,0.16364820087736537,0.18470218090401921,0,0,0,0.20552478977499855,0.21352080495824263,0
9,0,0.16312859418228748,0.18281381989909692,0,0,0,0.20168539530258806,0.22022925622375375,0
