"Name","GPU Type","GPU Count","Commit","GitHub","Description","Hostname","Sweep","Runtime","End Time","Updated","Tags","ID","State","Notes","User","Group","Job Type","Created","trainer/global_step","epoch","Validation/Loss","Validation/Accuracy","TrainEnd/Loss","Train/Loss","Test/Loss","Test/Accuracy","Round","network_args","model_args.model","data_args.dataset","aggregator_args.algorithm","adversarial_args.targeted","adversarial_args.target_label","adversarial_args.target_changed_label","adversarial_args.poisoned_sample_persent","adversarial_args.poisoned_ratio","adversarial_args.noise_type","adversarial_args.attacks","127.0.0.1:46510","127.0.0.1:46511","127.0.0.1:46512","127.0.0.1:46513","127.0.0.1:46514","127.0.0.1:46520","127.0.0.1:46521","127.0.0.1:46522","127.0.0.1:46523","127.0.0.1:46524","127.0.0.1:46524 127.0.0.1:46520","127.0.0.1:46530","127.0.0.1:46531","127.0.0.1:46532","127.0.0.1:46533","127.0.0.1:46534","127.0.0.1:46540","127.0.0.1:46541","127.0.0.1:46542","127.0.0.1:46543","127.0.0.1:46544","127.0.0.1:46550","127.0.0.1:46551","127.0.0.1:46552","127.0.0.1:46553","127.0.0.1:46554"
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","207","2023-05-06T11:36:34.000Z","2023-05-06T11:47:50.000Z","NoAttack","k714wc0w","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_133249","","2023-05-06T11:33:07.000Z","0","0","0.10258903354406355","0.9783333539962769","0.01054074428975582","0.006942978128790855","0.21139155328273773","0.959500014781952","10","127.0.0.146515","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","212","2023-05-06T11:36:36.000Z","2023-05-06T11:47:50.000Z","NoAttack","51mr20qg","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_133249","","2023-05-06T11:33:04.000Z","0","0","0.14762982726097107","0.9791666865348816","0.0006387282046489418","0.00023299302847590295","0.10985204577445984","0.9810000061988832","10","127.0.0.146519","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","212","2023-05-06T11:36:35.000Z","2023-05-06T11:47:50.000Z","NoAttack","yr2xj9kx","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_133249","","2023-05-06T11:33:03.000Z","0","0","0.1718665361404419","0.9700000286102296","0.010471663437783718","0.004183725919574499","0.07049708068370819","0.9829999804496764","10","127.0.0.146518","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","209","2023-05-06T11:36:32.000Z","2023-05-06T11:47:50.000Z","NoAttack","awtbgpbt","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_133249","","2023-05-06T11:33:03.000Z","0","0","0.1445571929216385","0.9725000262260436","0.01113712415099144","0.05210663005709648","0.16823731362819672","0.9704999923706056","10","127.0.0.146517","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","212","2023-05-06T11:36:34.000Z","2023-05-06T11:47:50.000Z","NoAttack","9flkxc7l","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_133249","","2023-05-06T11:33:02.000Z","0","0","0.1001146212220192","0.977500021457672","0.002182344440370798","0.005491473246365786","0.2518995404243469","0.9610000252723694","10","127.0.0.146516","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_0","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","201","2023-05-06T11:33:20.000Z","2023-05-06T11:47:50.000Z","NoAttack","ojrsk8d2","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132943","","2023-05-06T11:29:59.000Z","0","0","0.0883101150393486","0.9800000190734864","0.005943076219409704","0.0019478186732158065","0.18029221892356873","0.9674999713897704","10","127.0.0.146510","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_2","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","202","2023-05-06T11:33:18.000Z","2023-05-06T11:47:50.000Z","NoAttack","f8f7fuhl","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132943","","2023-05-06T11:29:56.000Z","0","0","0.11910615116357803","0.977500021457672","0.003920260816812515","0.001201203209348023","0.128810316324234","0.977999985218048","10","127.0.0.146512","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_3","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","202","2023-05-06T11:33:18.000Z","2023-05-06T11:47:50.000Z","NoAttack","dwxr8nv8","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132943","","2023-05-06T11:29:56.000Z","0","0","0.09979736804962158","0.9766666889190674","0.0025208252482116222","0.0004895177553407848","0.08204786479473114","0.9865000247955322","10","127.0.0.146513","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_4","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","203","2023-05-06T11:33:19.000Z","2023-05-06T11:47:50.000Z","NoAttack","a7tre680","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132943","","2023-05-06T11:29:56.000Z","0","0","0.1667511910200119","0.9700000286102296","0.0034151654690504074","0.000003427115188969765","0.13515324890613556","0.9789999723434448","10","127.0.0.146514","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participant_1","","","","https://github.com/janousy/fedstellar-robust/tree/024e99fb0f219db877308a38706a2bb8be8e875d","","some-mba.fritz.box","","200","2023-05-06T11:33:15.000Z","2023-05-06T11:47:50.000Z","NoAttack","ri5bweqj","finished","-","janousy","MNIST_MLP_Krum_fully_NoAttack_False_N0-S0_R0_gaussian_20230506_132943","","2023-05-06T11:29:55.000Z","0","0","0.22565022110939023","0.9700000286102296","0.0000818547559902072","0.0000016465609178339946","0.20045314729213717","0.9649999737739564","10","127.0.0.146511","MLP","MNIST","Krum","true","0","0","0","0","salt","No Attack","","","","","","","","","","","","","","","","","","","","","","","","","",""
