,GPU (%),Memory (MB),Traffic (MB)
FedAvg,52.28071428571429,3856.428571428571,27.99090224357143
FlTrust,65.30210526315788,4293.526315789474,28.73023494052632
Krum,52.62428571428571,3819.9285714285716,28.897061689285714
Sentinel,68.7963157894737,4494.368421052632,30.303749382105263
SentinelGlobal,67.65315789473685,4504.842105263158,30.332515431578948
TrimmedMean,65.32105263157894,4310.789473684211,29.053247313157897
