,CPU (%),Memory (MB),Traffic (MB)
FedAvg,38.9558203125,982.875,45.7349201125
FlTrust,37.11770833333333,1007.164375,45.45038444750001
Krum,39.16002604166667,982.465,45.92718070125
Sentinel,39.36932291666667,1016.136875,45.855409776250006
SentinelGlobal,39.1359375,1018.686875,45.386797765
TrimmedMean,38.78799479166667,979.94875,45.303853296875
