,GPU (%),Memory (MB),Traffic (MB)
SentinelGlobal,3.64611271347442,190.2024182568186,0.0
Sentinel,3.4740969064166727,190.8589121470428,0.0
FlTrust,3.508277176741569,183.2865372996864,0.0
TrimmedMean,3.5574066523063963,183.30571100565413,0.0
FedAvg,3.377862573174082,181.895314698833,0.0
Krum,3.498599100768451,182.95317001682673,0.0
