,GPU (%),Memory (MB),Traffic (MB)
FedAvg,69.55888888888889,4339.888888888888,27.702884289444444
FlTrust,68.39611111111111,4347.666666666667,29.288579883684207
Krum,62.58894736842105,4273.368421052632,28.919025082105268
Sentinel,69.33684210526316,4491.736842105263,30.53673387684211
SentinelGlobal,68.63947368421053,4489.894736842106,30.299459031578948
TrimmedMean,68.185,4328.222222222223,29.565857196842103
