,CPU (%),Memory (MB),Traffic (MB)
FlTrust,0.02274584302585863,9.706891374159882,0.0
TrimmedMean,0.018051921761159294,8.21426050344701,0.0
FedAvg,0.02085811840780906,8.019104727150033,0.0
Krum,0.02392820016825544,7.762400357905167,0.0
SentinelGlobal,0.022796051283020473,8.959818944645775,0.0
Sentinel,0.024414865438185197,9.283488944312188,0.0
