,CPU (%),Memory (MB),Traffic (MB)
FlTrust,0.02387402005638754,9.478823881737101,0.0
TrimmedMean,0.01908407554375182,8.299111903023496,0.0
FedAvg,0.02049333663220058,8.680223640057104,0.0
SentinelGlobal,0.024170166418986047,9.158242961432341,0.0
Sentinel,0.024671309808657366,9.207516300951722,0.0
Krum,0.01876617585203241,7.833058162830891,0.0
