,GPU (%),Memory (MB),Traffic (MB)
FedAvg,3.355102537872566,216.17210986434515,0.0
Krum,3.712265226020395,216.63221139012072,0.0
SentinelGlobal,3.6916121348123108,190.67336535572758,0.0
Sentinel,3.6519865460503937,190.31749484952434,0.0
FlTrust,3.566902877465688,182.62710213263557,0.0
TrimmedMean,3.623155931331041,183.00334568150603,0.0
