,CPU (%),Memory (MB),Traffic (MB)
FedAvg,37.76518229166667,982.5875,45.590216995625
FlTrust,39.76385416666667,993.796875,45.65819506125
Krum,38.852291666666666,984.2950000000001,45.103204704374996
Sentinel,39.656367187499995,1000.868125,45.43213681375
SentinelGlobal,38.330091145833336,1013.03,46.230258540625
TrimmedMean,38.0031640625,977.37875,45.481377749375
