,GPU (%),Memory (MB),Traffic (MB)
SentinelGlobal,3.702116718568857,190.23205241030004,0.0
Sentinel,3.692906450024201,189.92917594309438,0.0
FlTrust,3.3217260686248413,189.2774530903404,0.0
TrimmedMean,3.3244401034811846,188.07988132026173,0.0
FedAvg,3.320391860312213,188.20312993969975,0.0
Krum,3.5522568786588433,183.2437628504078,0.0
