,CPU (%),Memory (MB),Traffic (MB)
FedAvg,38.25690104166667,994.256875,45.797216446875
FlTrust,36.759960937500004,1006.9206250000001,46.212651704375
Krum,37.251328125,983.3912499999999,45.746890729375
Sentinel,36.42290364583334,1000.55625,45.567527503125
SentinelGlobal,37.06270833333333,1002.07375,46.097414005000005
TrimmedMean,38.462109375000004,989.6281250000001,46.393145076875
