,GPU (%),Memory (MB),Traffic (MB)
FedAvg,65.54315789473685,4301.526315789473,28.56639179
FlTrust,66.39263157894736,4313.315789473683,28.723338754210527
Krum,64.90473684210527,4310.105263157894,28.550923623157896
Sentinel,67.96578947368421,4528.684210526317,29.891336291578945
SentinelGlobal,67.52526315789476,4486.21052631579,30.894843609999995
TrimmedMean,65.57894736842105,4318.263157894738,28.906566612105262
