,GPU (%),Memory (MB),Traffic (MB)
SentinelGlobal,4.11118397107628,230.544265297104,0.0
Sentinel,3.66233566089658,190.84374545699785,0.0
FlTrust,3.3774707131187327,183.22578667938154,0.0
TrimmedMean,3.4937909309591033,183.22935584993778,0.0
FedAvg,3.610912236633698,181.97645911293984,0.0
Krum,3.6591886074654054,182.52417717640662,0.0
