,GPU (%),Memory (MB),Traffic (MB)
SentinelGlobal,3.562086505461582,188.98252576529163,0.0
Sentinel,3.657193229674244,190.26305112709628,0.0
FlTrust,3.612458975432712,181.96061527832163,0.0
TrimmedMean,3.229542817363882,189.14418169421097,0.0
FedAvg,3.2904091555669015,188.80673867185263,0.0
Krum,3.5654312167625757,180.24139643266278,0.0
