,GPU (%),Memory (MB),Traffic (MB)
FedAvg,68.06777777777778,4339.222222222222,27.70272332555556
FlTrust,65.16526315789473,4290.631578947368,29.081723259999997
Krum,64.84526315789473,4262.421052631579,29.36348822473684
Sentinel,66.48157894736842,4483.789473684211,29.490412354210527
SentinelGlobal,65.96842105263156,4475.368421052631,29.76034290105263
TrimmedMean,67.84055555555555,4347.61111111111,29.154525484736844
