,GPU (%),Memory (MB),Traffic (MB)
FedAvg,66.31578947368422,4292.8421052631575,28.930852593157894
FlTrust,65.56789473684209,4331.631578947368,28.398902294210526
Krum,65.57684210526317,4289.947368421053,29.04458993263158
Sentinel,69.39315789473686,4509.157894736842,30.06181679631579
SentinelGlobal,56.01928571428572,4024.3571428571436,28.906300360714283
TrimmedMean,65.91947368421053,4331.736842105262,28.422696179999996
