"0","1","2","3","4","5","6","7","8","9"
"204","1","0","0","0","0","1","0","0","0"
"0","228","0","0","0","0","0","0","0","0"
"3","1","188","1","0","0","0","1","2","0"
"0","0","0","205","0","0","0","0","0","0"
"1","1","0","0","189","0","0","0","0","1"
"1","0","0","1","0","163","1","0","1","0"
"0","0","0","1","0","0","198","0","1","0"
"0","0","4","0","0","0","0","210","0","0"
"1","0","0","0","0","1","2","0","182","0"
"0","0","0","0","1","0","0","0","0","189"
