,192.168.50.3:46521,192.168.50.4:46522,192.168.50.5:46523,192.168.50.6:46524,192.168.50.7:46525,192.168.50.8:46526,192.168.50.9:46527,192.168.50.10:46528,192.168.50.11:46529
0,0,0.0,0.0,0.0,0,0,0,0,0.0
1,0,0.2039613120945904,0.19416192070053062,0.2039613120945904,0,0,0,0,0.19395414301569824
2,0,0.20033802610818296,0.20033802610818296,0.20033802610818296,0,0,0,0,0.19864789556726822
3,0,0.2,0.2,0.2,0,0,0,0,0.2
4,0,0.19998141152602564,0.20000464711849358,0.20000464711849358,0,0,0,0,0.20000464711849358
5,0,0.2,0.2,0.2,0,0,0,0,0.2
6,0,0.1960871438168478,0.20097821404578803,0.20097821404578803,0,0,0,0,0.20097821404578803
7,0,0.19814637086438405,0.200463407283904,0.200463407283904,0,0,0,0,0.200463407283904
8,0,0.1956483923401084,0.2010879019149729,0.2010879019149729,0,0,0,0,0.2010879019149729
9,0,0.19168112981136615,0.20207971754715848,0.20207971754715848,0,0,0,0,0.20207971754715848
