,192.168.50.3:46551,192.168.50.4:46552,192.168.50.5:46553,192.168.50.6:46554,192.168.50.7:46555,192.168.50.8:46556,192.168.50.9:46557,192.168.50.10:46558,192.168.50.11:46559
0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
1,0.6633014656034545,0.6585305870411629,1,1.0,1,0.6559612201217088,0.6600009604283326,1,0.6609920428683927
2,0.6579031185831333,0.6474143957628568,1,1.0,1,0.6655855081223934,0.6538741858806556,1,0.6404345864211658
3,0.6097951291402837,0.6183455162619408,1,1.0,1,0.6257521806611059,0.6154842467021161,1,0.6655135365687462
4,0.6002278454949723,0.6067703057914194,1,1.0,1,0.6057038892180064,0.593642570010973,1,0.6342117518981268
5,0.5774852294233761,0.575493843201958,1,1.0,1,0.6242444501823026,0.6177129972351191,1,0.6158653439931377
6,0.5735082515262879,0.5625839945392684,1,1.0,1,0.5857920316102961,0.5843387084891738,1,0.5644862404325298
7,0.5675517588761975,0.5535031622614671,1,1.0,1,0.5653729976492563,0.570797745495036,1,0.5592323466713818
8,0.5531273666554735,0.5352357151830296,1,0.9929184697766655,1,0.548201794898946,0.5580638048923926,1,0.5514414286728003
9,0.5544512504982274,0.5275923639797669,1,1.0,1,0.524650369073538,0.5364912339719772,1,0.5543023195794156
