,192.168.50.3:46511,192.168.50.4:46512,192.168.50.5:46513,192.168.50.6:46514,192.168.50.7:46515,192.168.50.8:46516,192.168.50.9:46517,192.168.50.10:46518,192.168.50.11:46519
0,0,0.0,0,0.0,0,0,0.0,0,0.0
1,0,0.19603772839015382,0,0.20192253307403607,0,0,0.19819467238773802,0,0.20192253307403607
2,0,0.19831811142475697,0,0.1939201605977849,0,0,0.20258724265915273,0,0.20258724265915273
3,0,0.1965470704094125,0,0.19357819915021926,0,0,0.20329157681345605,0,0.20329157681345605
4,0,0.19883942299459076,0,0.19308693768045845,0,0,0.20269121310831692,0,0.20269121310831692
5,0,0.19372716445329863,0,0.19282086123536293,0,0,0.20599103816026074,0,0.2014698979908169
6,0,0.1929708838421879,0,0.1930975387205143,0,0,0.2060224121987616,0,0.20188675303977446
7,0,0.19403934990983454,0,0.1959359535633007,0,0,0.2034176612768586,0,0.20318937397314749
8,0,0.19507584704284375,0,0.19874767337971722,0,0,0.202058826525813,0,0.202058826525813
9,0,0.19692776614504418,0,0.19670789152084064,0,0,0.2021214474447051,0,0.2021214474447051
